latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Eriobotryae Folium,Eriobotrya Leaf,비파엽,枇杷葉,枇杷叶,Pipaye,ビワヨウ,枇杷葉
Eriocauli Flos,,곡정초,穀精草,谷精草,Gujingcao,,
Erycibae Caulis,,정공등,丁公藤,丁公藤,Dinggongteng,,
Eucommiae Cortex,Eucommia Bark,두충,杜仲,杜仲,Duzhong,トチュウ,杜仲
Eucommiae Cortex Carbonisatum,,두충초탄,杜仲炒炭,,,,
Eucommiae Cortex Preparata Cum Sal,,두충염자,杜仲鹽炙,,,,
Eucommiae Folium,,두충엽,杜仲葉,杜仲叶,Duzhongye,,
Euonymi Ramuli Suberalatum,,귀전우,鬼箭羽,鬼箭羽,,,
Eupatorii Lindleyani Herba,,야마추,野馬追,野马追,Yemazhui,,
Euphorbiae Fischerianae Radix,,낭독,狼毒,狼毒,Langdu,,
Euphorbiae Hirtae Herba,,비양초,飛揚草,飞扬草,Feiyangcao,,
Euphorbiae Humifusae Herba,,지금초,地錦草,地锦草,Dijincao,,
Euphorbiae Kansui Radix,,감수,甘遂,甘遂,Gansui,,
Euphorbiae Lathyridis Semen,Caper-Spurge,속수자,續隨子,千金子,Qianjinzi,,
Euphorbiae Pekinensis Radix,,대극,大戟,京大戟,Jingdaji,,
Eupolyphaga,,자충,蟅蟲,土鳖虫,Tubiechong,,
Euryales Semen,Euryale Seed,검인,芡仁,芡实,Qianshi,,
Evodiae Fructus,Evodia Fruit,오수유,吳茱萸,吴茱萸,Wuzhuyu,ゴシュユ,呉茱萸
Fagopyri Dibotryis Rhizoma,,금교맥,金蕎麥,金荞麦,Jinqiaomai,,
Farfarae Flos,Farfarae Flower,관동화,款冬花,款冬花,Kuandonghua,,
Ferulae Resina,,아위,阿魏,阿魏,Awei,,
Fibraureae Caulis,,황등,黃藤,黄藤,Huangteng,,
Foeniculi Fructus,Fennel,회향,茴香,小茴香,Xiaohuixiang,ウイキョウ,茴香
Forsythiae Fructus,Forsythia Fruit,연교,連翹,连翘,Lianqiao,レンギョウ,連翹
Fossilia Ossis Mastodi,Longgu,용골,龍骨,龙骨,,リュウコツ,竜骨
Fraxini Cortex,,진피,秦皮,秦皮,Qinpi,,
Fritillariae Cirrhosae Bulbus,Fritillaria Bulb,천패모,川貝母,川贝母,Chuanbeimu,,
Fritillariae Hupehensis Bulbus,,호북패모,湖北貝母,湖北贝母,Hubeibeimu,,
Fritillariae Pallidiflorae Bulbus,,이패모,伊貝母,伊贝母,Yibeimu,,
Fritillariae Thunbergii Bulbus,Fritillaria Thunbergii Bulb,절패모,浙貝母,浙贝母,Zhebeimu,,
Fritillariae Ussuriensis Bulbus,,평패모,平貝母,平贝母,Pingbeimu,,
Galangae Fructus,,홍두구,紅豆蔲,红豆蔻,Hongdoukou,,
Galla Rhois,Rhus Galls,오배자,五倍子,五倍子,Wubeizi,,
Gambir,Gambir,아선약,阿仙藥,,,アセンヤク,阿仙薬
Ganoderma,,영지,靈芝,灵芝,Lingzhi,,
Garciniae Resina,,등황,藤黃,,,,
Gardeniae Fructus,Gardenia Fruit,치자,梔子,栀子,Zhizi,サンシシ,山梔子
Gardeniae Fructus Praeparatus,,초치자,焦梔子,焦栀子,Jiaozhizi,,
Gastrodiae Rhizoma,Gastrodia Rhizome,천마,天麻,天麻,Tianma,テンマ,天麻
Gei Herba,,남포정,藍布正,蓝布正,Lanbuzheng,,
Gendarussae Herba,,소박골,小駁骨,小驳骨,Xiaobogu,,
Genkwae Flos,,원화,芫花,芫花,Yuanhua,,
Gentianae Luteae Radix Et Rhizoma,Gentian,겐티아나,,,,ゲンチアナ,
Gentianae Macrophyllae Radix,,진교,秦艽,秦艽,Qinjiao,ジンギョウ,秦艽
Gentianae Scabrae Radix Et Rhizoma,Gentian Root and Rhizome,용담,龍膽,龙胆,Longdan,リュウタン,竜胆
Geranii Herba,Geranium Herb,현초,玄草,老鹳草,Laoguancao,ゲンノショウコ,
Ginkgo Folium,Ginkgo Leaf,은행엽,銀杏葉,银杏叶,Yinxingye,,
Ginkgonis Semen,,백과,白果,白果,Baiguo,,
Ginseng Folium,,인삼엽,人參葉,人参叶,Renshenye,,
Ginseng Radix,Ginseng,인삼,人蔘,人参,Renshen,ニンジン,人参
Ginseng Radix Rubra,Red Ginseng,홍삼,紅蔘,红参,Hongshen,コウジン,紅参
Glechomae Herba,,연전초,連錢草,连钱草,Lianqiancao,,
Gleditsiae Fructus,,조협,皂莢,猪牙皂 大皂角,Zhuyazao Dazaojiao,,
Gleditsiae Spina,Gleditsia Spine,조각자,皂角刺,皂角刺,Zaojiaoci,,
Glehniae Radix,,해방풍,海防風,北沙参,Beishashen,ハマボウフウ,浜防風
Glycine Semen Germinatum,,대두황권,大豆黃卷,大豆黄卷,Dadouhuangjuan,,
Glycine Semen Nigra,,흑두,黑豆,黑豆,Heidou,,
Glycine Semen Preparata,,두시,豆豉,淡豆豉,Dandouchi,,
Glycyrrhizae Radix Preparata,,감초초,甘草炒,,,シャカンゾウ,炙甘草
Glycyrrhizae Radix Preparata Cum Mel,,감초밀자,甘草蜜炙,炙甘草,Zhigancao,,
Glycyrrhizae Radix Et Rhizoma,Licorice,감초,甘草,甘草,Gancao,カンゾウ,甘草
Granati Cortex,Granate Bark,석류피,石榴皮,石榴皮,Shiliupi,,
Granati Fructus,,석류,石榴,石榴子,,,
Harpagophyti Radix,,천수근,天授根,,,,
Hedysari Radix,,홍기,紅芪,红芪,Hongqi,シンギ,晋耆
Helwingiae Medulla,,소통초,小通草,小通草,Xiaotongcao,,
Hemerocallidis Radix Et Rhizoma,,훤초근,萱草根,,,,
Hibisci Cortex,Hybiscus Bark,목근피,木槿皮,,,,
Hippocampus,,해마,海馬,海马,Haima,,
Hippophae Fructus,,사극,沙棘,沙棘,Shaji,,
Hirudo,,수질,水蛭,水蛭,Shuizhi,,
Holotrichia,,제조,蠐螬,蛴螬,,,
Homalomenae Rhizoma,,천년건,千年健,千年健,Qiannianjian,,
Hordei Fructus Germinatus,,맥아,麥芽,麦芽,Maiya,バクガ,麥芽
Houttuyniae Herba,,어성초,魚腥草,鱼腥草,Yuxingcao,ジュウヤク,十薬
Hoveniae Semen Seu Fructus,,지구자,枳椇子,,,,
Humuli Herba,,율초,葎草,葎草,,,
Humuli Strobilus,Hops,호프,忽布,,,ホップ,
Hydnocarpi Semen,,대풍자,大風子,大风子仁,,,
Hydrangeae Dulcis Folium,Sweet Hydrangea Leaf,감차,甘茶,,,アマチャ,甘茶
Hylotelephii Herba,,경천,景天,,,,
Hyoscyami Semen,,천선자,天仙子,天仙子,Tianxianzi,,
Hyperici Perforati Herba,St John's wort,관엽금사도,貫葉金絲桃,贯叶金丝桃,Guanyejinsitao,,
Ilicis Chinensis Folium,,사계청,四季青,四季青,Sijiqing,,
Ilicis Cornutae Folium,,구골엽,枸骨葉,枸骨叶,Gouguye,,
Ilicis Rotundae Cortex,,구필응,救必應,救必应,Jiubiying,,
Illici Veri Fructus,Star Anis Fruit,팔각회향,八角茴香,八角茴香,Bajiaohuixiang,,
Illicii Cortex,,지풍피,地楓皮,地枫皮,Difengpi,,
Impatientis Caulis,,봉선투골초,鳳仙透骨草,鲜凤仙透骨草,,,
Impatientis Semen,,급성자,急性子,急性子,Jixingzi,,
Imperatae Rhizoma,Imperata Rhizome,모근,茅根,白茅根,Baimaogen,ボウコン,茅根
Indigo Pulverata Levis,Indigo,청대,靑黛,青黛,Qingdai,,
Inulae Flos,,선복화,旋覆花,旋覆花,Xuanfuhua,,
Inulae Heleni Radix,,토목향,土木香,土木香,Tumuxiang,,
Inulae Herba,,금비초,金沸草,金沸草,Jinfeicao,,
Ipecacuanhae Radix Et Rhizoma,Ipecac,토근,吐根,,,トコン,吐根
Iridis Tectori Rhizoma,,천사간,川射干,川射干,Chuanshegan,,
Isatidis Folium,,대청엽,大靑葉,大青叶 蓼大青叶,Daqingye Liaodaqingye,,
Isatidis Radix,,판람근,板藍根,板蓝根,Banlangen,,
Juglandis Semen,,호도,胡桃,核桃仁,Hetaoren,,
Junci Medulla,Juncus Medulla,등심초,燈心草,灯心草,Dengxincao,トウシンソウ,"灯心草, 燈心草"
Kadsurae Caulis,,전계혈등,滇雞血藤,滇鸡血藤,Dianjixueteng,,
Kaempferiae Rhizoma,,산내,山柰,山柰,Shannai,,
Kaki Calyx,,시체,柿蒂,柿蒂,Shidi,シテイ,柿蒂
Kalopanacis Cortex,Kalopanax Bark,해동피,海桐皮,海桐皮,,,
Knoxiae Radix,,홍대극,紅大戟,红大戟,Hongdaji,,
Kochiae Fructus,Kochia Fruit,지부자,地膚子,地肤子,Difuzi,,
L-Borneolum,,애편,艾片,艾片,Aipian,,
Lacca Rhois Exsiccata,,건칠,乾漆,干漆,Ganqi,,
Laggerae Herba,,취령단초,臭靈丹草,臭灵丹草,Choulingdancao,,
Lagotidis Herba,,홍련,洪連,洪连,Honglian,,
Laminariae Japonicae Thallus,,곤포,昆布,昆布,Kunbu,,
Lamiophlomis Herba,,독일미,獨一味,独一味,Duyiwei,,
Lasiosphaera Seu Calvatia,,마발,馬勃,马勃,Mabo,,
Leonuri Herba,Leonurus Herb,익모초,益母草,益母草,Yimucao,ヤクモソウ,益母草
Leonuri Semen,Motherwort Seed,충위자,茺蔚子,茺蔚子,Chongweizi,,
Lepidii Seu Descurainiae Semen,,정력자,葶藶子,葶苈子,Tinglizi,,
Ligustici Tenuissimi Rhizoma Et Radix,,고본,藁本,蒿本,Haoben,コウホン,藁本
Ligustri Fructus,Ligustrum Fruit,여정실,女貞實,女贞子,Nüzhenzi,,
Lilii Bulbus,,백합,百合,百合,Baihe,ビャクゴウ,百合
Linderae Radix,Lindera Root,오약,烏藥,乌药,Wuyao,ウヤク,烏薬
Linderae Ramulus,,황매목,黃梅木,,,,
Lini Semen,Linseed,아마인,亞麻仁,亚麻子,Yamazi,,
Liquidambaris Fructus,,노로통,路路通,路路通,Lulutong,,
Liquidambaris Resina,,풍향지,楓香脂,枫香脂,Fengxiangzhi,,
Liquidambaris Storax,,소합향,蘇合香,苏合香,Suhexiang,,
Liriopes Radix,,산맥동,山麥冬,山麦冬,Shanmaidong,,
Liriopis Seu Ophiopogonis Tuber,Liriope Tuber,맥문동,麥門冬,麦冬,Maidong,バクモンドウ,麦門冬
Litchi Semen,,여지핵,荔枝核,荔枝核,Lizhihe,,
Lithospermi Radix,Lithospermum Root,자근,紫根,紫草,Zicao,シコン,紫根
Lobeliae Chinensis Herba,,반변련,半邊蓮,半边莲,Banbianlian,,
Longan Arillus,Longan Arillus,용안육,龍眼肉,龙眼肉,Longyanrou,リュウガンニク,竜眼肉
Lonicerae Flos,,산은화,山銀花,山银花,Shanyinhua,,
Lonicerae Folium Et Caulis,Lonicera Leaf and Stem,인동,忍冬,忍冬藤,Rendongteng,ニンドウ,忍冬
Lonicerae Japonicae Flos,Lonicera Flower,금은화,金銀花,金银花,Jinyinhua,キンギンカ,金銀花
Lophatheri Herba,,담죽엽,淡竹葉,淡竹叶,Danzhuye,,
Loranthi Ramulus Et Folium,,상기생,桑寄生,桑寄生,Sangjisheng,,
Luffae Fructus Retinervus,,사과락,絲瓜絡,丝瓜络,Sigualuo,,
Lumbricus,,지룡,地龍,地龙,Dilong,ジリュウ,地竜
Lycii Folium,Lycium Leaf,구기엽,枸杞葉,,,クコヨウ,枸杞葉
Lycii Fructus,Lycium Fruit,구기자,枸杞子,枸杞子,Gouqizi,クコシ,枸杞子
Lycii Radicis Cortex,Lycium Root Bark,지골피,地骨皮,地骨皮,Digupi,ジコッピ,地骨皮
Lycopi Herba,Lycopus Herb,택란,澤蘭,泽兰,Zelan,,
Lycopodii Herba,,신근초,伸筋草,伸筋草,Shenjincao,,
Lysimachiae Herba,,금전초,金錢草,金钱草,Jinqiancao,,
Lysionoti Herba,,석적란,石吊蘭,石吊兰,Shidiaolan,,
Magnoliae Cortex,Magnolia Bark,후박,厚朴,厚朴,Houpo,コウボク,厚朴
Magnoliae Flos,Magnolia Bud,신이,辛荑,辛夷,Xinyi,シンイ,辛夷
Mahoniae Caulis,,공로목,功勞木,功劳木,Gonglaomu,,
Malvae Fructus,,동규자,冬葵子,冬葵果,Dongkuiguo,,
Mantidis Ootheca,,상표초,桑螵蛸,桑螵蛸,Sangpiaoxiao,,
Margarita,Pearl,진주,珍珠,珍珠,Zhenzhu,,
Margaritifera Concha,,진주모,珍珠母,珍珠母,Zhenzhumu,,
Marsdeniae Tenacissimae Caulis,,통관등,通關藤,通关藤,Tongguanteng,,
Massa Medicata Fermentata,,신곡,神麯,神曲,Shenqu,,
Maydis Stigma,,옥촉서예,玉蜀黍蕊,玉米须,,,
Mel,Honey,봉밀,蜂蜜,蜂蜜,Fengmi,ハチミツ,蜂蜜
Melandrii Herba,,왕불류행,王不留行,王不留行,Wangbuliuxing,,
Meliae Cortex,,고련피,苦楝皮,苦楝皮,Kulianpi,,
Meliae Fructus,Chinaberry,천련자,川楝子,川楝子,Chuanlianzi,センレンシ,川楝子
Melo Semen,,첨과자,甜瓜子,甜瓜子,Tianguazi,,
Menispermi Rhizoma,,북두근,北豆根,北豆根,Beidougen,,
Menthae Herba,Mentha Herb,박하,薄荷,薄荷,Bohe,ハッカ,薄荷
Microctis Folium,,포사엽,布渣葉,布渣叶,Buzhaye,,
Mirabilitum Praeparatum,,서과상,西瓜霜,西瓜霜,Xiguashuang,,
Momordicae Semen,,목별자,木鼈子,木鳖子,Mubiezi,,
Mori Folium,,상엽,桑葉,桑叶,Sangye,,
Mori Fructus,,상심자,桑椹子,桑椹,Sangshen,,
Mori Radicis Cortex,Mulberry Root Bark,상백피,桑白皮,桑白皮,Sangbaipi,ソウハクヒ,桑白皮
Mori Ramulus,,상지,桑枝,桑枝,Sangzhi,,
Morindae Radix,Morinda Root,파극천,巴戟天,巴戟天,Bajitian,,
Moschus,Musk,사향,麝香,麝香,Shexiang,,
Moutan Radicis Cortex,Moutan Root Bark,목단피,牡丹皮,牡丹皮,Mudanpi,ボタンピ,牡丹皮
Mume Flos,,매화,梅花,梅花,Meihua,,
Mume Fructus,Mume Fruit,오매,烏梅,乌梅,Wumei,ウバイ,烏梅
Murrayae Folium Et Cacumen,,구리향,九里香,九里香,Jiulixiang,,
Myristicae Semen,Nutmeg,육두구,肉豆蔲,肉豆蔻,Roudoukou,ニクズク,肉豆䓻
Myrrha,Myrrh,몰약,沒藥,没药,Moyao,,
Myrtilli Fructus,Bilberry Fruit,빌베리,黑果越桔,,,,
Nardostachyos Radix Et Rhizoma,,감송향,甘松香,甘松,Gansong,,
Nardotidis Seu Sulculii Concha,,석결명,石決明,石决明,Shijueming,,
Nelumbinis Folium,,하엽,荷葉,荷叶,Heye,,
Nelumbinis Plumula,,연자심,蓮子心,莲子心,Lianzixin,,
Nelumbinis Receptaculum,,연방,蓮房,莲房,Lianfang,,
Nelumbinis Rhizomatis Nodus,,우절,藕節,藕节,Oujie,,
Nelumbinis Semen,Nelumbo Seed,연자육,蓮子肉,莲子,Lianzi,レンニク,蓮肉
Nelumbinis Stamen,,연수,蓮鬚,莲须,Lianxu,,
Nigellae Semen,,흑종초자,黑種草子,黑种草子,Heizhongcaozi,,
Notoginseng Radix Et Rhizoma,,삼칠,三七,三七,Sanqi,サンシチニンジン,三七人参
Oldenlandiae Diffusae Herba,,백화사설초,白花蛇舌草,白花蛇舌草,,,
Oleum Arachidis,Peanut Oil,낙화생유,落花生油,,,ラッカセイ油,
Oleum Eucalypti,,안엽,桉葉,,,ユーカリ油,
Oleum Menthae Japonicae,Mentha Oil,박하유,薄荷油,,,ハッカ油,薄荷油
Olibanum,,유향,乳香,乳香,Ruxiang,,
Omphalia,,뇌환,雷丸,雷丸,Leiwan,,
Onion,,양총,洋葱,洋葱,,,
Oregano,,우지,牛至,牛至,,,
Orobanchis Herba,,열당,列當,,,,
Orostachydis Herba,,와송,瓦松,瓦松,Wasong,,
Oroxyli Semen,,목호접,木蝴蝶,木蝴蝶,Muhudie,,
Oryzae Rhizoma Et Radix,,나도근,糯稻根,,,,
Osterici Seu Notopterygii Radix Et Rhizoma,Ostericum Root,강활,羌活,羌活,Qianghuo,キョウカツ,羌活
Paeoniae Radix,Peony Root,작약,芍藥,白芍 赤芍,Baishao Chishao,シャクヤク,芍薬
Panacis Japonici Rhizoma,,죽절삼,竹節參,竹节参,Zhujieshen,チクセツニンジン,竹節人参
Panacis Majoris Rhizoma,,주자삼,珠子參,珠子参,Zhuzishen,,
Panacis Quinquefolii Radix,American ginseng,서양삼,西洋參,西洋参,Xiyangshen,,
Papaveris Pericarpium,,앵속각,罌粟殼,罂粟壳,Yingsuqiao,,
Paridis Rhizoma,,중루,重樓,重楼,Chonglou,,
Patriniae Radix,,패장,敗醬,败酱草,Baijiangcao,,
Perillae Caulis,,자소경,紫蘇梗,紫苏梗,Zisugeng,,
Perillae Folium,Perilla Leaf,자소엽,紫蘇葉,紫苏叶,Zisuye,ソヨウ,紫蘇葉
Perillae Fructus,Perilla Fruit,자소자,紫蘇子,紫苏子,Zisuzi,シソシ,紫蘇子
Perillae Japonicae Semen,,임자,荏子,,,,
Periplocae Cortex,,향가피,香加皮,香加皮,Xiangjiapi,,
Persicae Semen,Peach Kernel,도인,桃仁,桃仁,Taoren,トウニン,桃仁
Peucedani Japonici Radix,,식방풍,植防風,,,,
Peucedani Radix,,전호,前胡,前胡 紫花前胡,Qianhu Zihuaqianhu,ゼンコ,前胡
Pharbitidis Semen,Pharbitis Seed,견우자,牽牛子,牵牛子,Qianniuzi,ケンゴシ,牽牛子
Phellodendri Cortex,Phellodendron Bark,황백,黃柏,黄柏 关黄柏,Huangbo Guanhuangbo,オウバク,黄柏
Phlomidis Radix,,한속단,韓續斷,,,,
Phragmitis Rhizoma,,노근,蘆根,芦根,Lugen,,
Phyllanthi Fructus,,여감자,餘甘子,余甘子,Yuganzi,,
Phyllostachyos Caulis In Taeniam,,죽여,竹茹,竹茹,Zhuru,チクジョ,"竹筎, 竹茹"
Physalis Calyx Seu Fructus,,금등롱,錦燈籠,锦灯笼,Jindenglong,,
Physochlainae Radix,,화산삼,華山參,华山参,Huashanshen,,
Phytolaccae Radix,,상륙,商陸,商陆,Shanglu,,
Picrasmae Lignum,Picrasma Wood,고목,苦木,苦木,Kumu,ニガキ,
Picriae Herba,,고현삼,苦玄參,苦玄参,Kuxuanshen,,
Picrorhizae Rhizoma,,호황련,胡黃蓮,胡黄连,Huhuanglian,,
Pinelliae Rhizoma Praeparatum Cum Alumine,,청반하,清半夏,淸半夏,Qingbanxia,,
Pinelliae Rhizoma Praeparatum Cum Zingibere Et Alumine,,강반하,薑半夏,薑半夏,Jiangbanxia,,
Pinelliae Tuber,Pinellia Tuber,반하,半夏,半夏,Banxia,ハンゲ,半夏
Pini Folium,,송엽,松葉,鲜松叶,,,
Pini Koraiensis Semen,,해송자,海松子,,,,
Pini Pollen,,송화분,松花粉,松花粉,Songhuafen,,
Piperis Kadsurae Caulis,,해풍등,海風藤,海风藤,Haifengteng,,
Piperis Longi Fructus,,필발,蓽撥,荜茇,Bibo,,
Piperis Nigri Fructus,Black pepper,후추,胡椒,胡椒,Hujiao,,
Plantaginis Herba,,차전초,車前草,车前草,Cheqiancao,シャゼンソウ,車前草
Plantaginis Semen,Plantago Seed,차전자,車前子,车前子,Cheqianzi,シャゼンシ,車前子
Platycodonis Radix,Platycodon Root,길경,桔梗,桔梗,Jiegeng,キキョウ,
Pogostemonis Herba,Pogostemon Herb,광곽향,廣藿香,广藿香,Guanghuoxiang,カッコウ,藿香
Polygalae Japonicae Herba,,과자금,瓜子金,瓜子金,Guazijin,,
Polygalae Radix,Polygala Root,원지,遠志,远志,Yuanzhi,オンジ,遠志
Polygalae Radix Preparata Cum Glycyrrhizae Radix,,원지감초자,遠志甘草煮,,,,
Polygalae Radix Preparata Cum Mel,,원지밀자,遠志蜜炙,,,,
Polygonati Odorati Rhizoma,,옥죽,玉竹,玉竹,Yuzhu,,
Polygonati Rhizoma,Polygonatum Rhizome,황정,黃精,黄精,Huangjing,オウセイ,黄精
Polygoni Avicularis Herba,,편축,萹蓄,萹蓄,Bianxu,,
Polygoni Cuspidati Rhizoma Et Radix,,호장근,虎杖根,虎杖,Huzhang,,
Polygoni Multiflori Caulis,,수오등,首烏藤,首乌藤,Shouwuteng,,
Polygoni Multiflori Radix,Polygonum Multiflorum Root,하수오,何首烏,何首乌,Heshouwu,カシュウ,何首烏
Polygoni Multiflori Radix Praeparata,,제하수오,制何首烏,制何首乌,Zhiheshouwu,,
Polygoni Orientalis Fructus,,수홍화자,水紅花子,水红花子,Shuihonghuazi,,
Polygoni Perfoliati Herba,,강판귀,扛板歸,杠板归,Gangbangui,,
Polyporus,Polyporus Sclerotium,저령,猪苓,猪苓,Zhuling,チョレイ,猪苓
Ponciri Fructus Immaturus,Poncirus Immature Fruit,지실,枳實,枳实,Zhishi,キジツ,枳実
Poria Sclerotium,Poria,복령,茯苓,茯苓,Fuling,ブクリョウ,茯苓
Poria Sclertum Cum Pini Radix,,복신,茯神,茯神,,,
Poriae Cutis,,복령피,茯苓皮,茯苓皮,Fulingpi,,
Portulacae Herba,,마치현,馬齒莧,马齿苋,Machixian,,
Potentillae Discoloris Herba,,번백초,翻白草,翻白草,Fanbaicao,,
Potentillae Herba,,위릉채,委陵菜,委陵菜,Weilingcai,,
Propolis,,봉교,蜂膠,蜂胶,Fengjiao,,
Prunellae Spica,Prunella Spike,하고초,夏枯草,夏枯草,Xiakucao,カゴソウ,夏枯草
Pruni Japonicae Semen,,욱리인,郁李仁,郁李仁,Yuliren,,
Prunus Bark,,앵피,櫻皮,,,オウヒ,桜皮
Psammosilenes Radix,,금철쇄,金鐵鎖,金铁锁,Jintiesuo,,
Pseudolaricis Cortex,,토형피,土荊皮,土荆皮,Tujingpi,,
Pseudostellariae Radix,,태자삼,太子參,太子参,Taizishen,,
Psoraleae Semen,,보골지,補骨脂,补骨脂,Buguzhi,,
Pterocephali Herba,,익수초,翼首草,翼首草,Yishoucao,,
Puerariae Flos,Pueraria Flower,갈화,葛花,,,,
Puerariae Radix,Pueraria Root,갈근,葛根,葛根,Gegen,カッコン,葛根
Puerariae Thomsonii Radix,,분갈,粉葛,粉葛,Fenge,,
Pulsatillae Radix,,백두옹,白頭翁,白头翁,Baitouweng,,
Pyrolae Herba,,녹제초,鹿蹄草,鹿衔草,Luxiancao,,
Pyrrosiae Folium,,석위,石韋,石韦,Shiwei,,
Quercus Cortex,,박속,樸樕,,,ボクソク,樸樕
Quisqualis Fructus,,사군자,使君子,使君子,Shijunzi,,
Rabdosiae Rubescentis Herba,,동릉초,冬淩草,冬凌草,Donglingcao,,
Ranae Oviductus,,합마유,哈蟆油,哈蟆油,Hamayou,,
Ranunculi Ternati Radix,,묘조초,猫爪草,猫爪草,Maozhaocao,,
Raphani Semen,Raphanus Seed,내복자,萊菔子,莱菔子,Laifuzi,,
Rauwolfia Radix,,인도사목,印度蛇木,,,,
Rehmanniae Radix,Rehmannia Root,지황,地黃,地黄,Dihuang,ジオウ,地黄
Rehmanniae Radix Preparata,Prepared Rehmannia Root,숙지황,熟地黃,熟地黄,Shudihuang,,
Rhapontici Radix,,누로,漏蘆,漏芦,Loulu,,
Rhei Radix Et Rhizoma,Rhubarb,대황,大黃,大黄,Dahuang,ダイオウ,大黄
Rhei Rhizoma Carbonisatum,,대황초탄,大黃炒炭,,,,
Rhei Rhizoma Preparata Cum Vinum,,대황주증,大黃酒蒸,,,,
Rhei Undulatai Rhizoma,Undulatum Rhubarb,종대황,種大黃,,,,
Rhodiolae Crenulatae Radix Et Rhizoma,,홍경천,紅景天,红景天,Hongjingtian,,
Rhododendri Daurici Folium,,만산홍,滿山紅,满山红,Manshanhong,,
Rhododendri Mollis Flos,,요양화,鬧羊花,闹羊花,Naoyanghua,,
Rhois Vernicifluae Cortex,,칠피,漆皮,,,,
Ricini Semen,,피마자,蓖麻子,蓖麻子,Bimazi,,
Rosae Chinensis Flos,,월계화,月季花,月季花,Yuejihua,,
Rosae Laevigatae Fructus,Rosa Fruit,금앵자,金櫻子,金樱子,Jinyingzi,,
Rosae Laevigatae Radix,,금앵근,金櫻根,金樱根,,,
Rosae Multiflorae Fructus,,영실,營實,,,エイジツ,営実
Rosae Rugosae Flos,,매괴화,玫瑰花,玫瑰花,Meiguihua,,
Rosin,,송지,松脂,,,ロジン,
Rubi Fructus,Rubus Fruit,복분자,覆盆子,覆盆子,Fupenzi,,
Rubiae Radix,Madder Root,천초근,茜草根,茜草,Qiancao,,
Rumecis Radix,,양제근,羊蹄根,,,,
Salviae Miltiorrhizae Radix,Salvia Miltiorrhiza Root,단삼,丹參,丹参,Danshen,タンジン,丹参
Sambuci Lignum,,접골목,接骨木,接骨木,,,
Sanguisorbae Radix,,지유,地楡,地楡,Diyu,,
Santali Albi Lignum,,백단향,白檀香,檀香,Tanxiang,,
Santalini Lignum Rubrum,Red Sandal Wood,자단향,紫檀香,紫檀香,,,
Saposhnikoviae Radix,Saposhnikovia Root,방풍,防風,防风,Fangfeng,ボウフウ,防風
Sappan Lignum,Sappan Wood,소목,蘇木,苏木,Sumu,ソボク,蘇木
Sarcandrae Herba,,종절풍,腫節風,肿节风,Zhongjiefeng,,
Sargassum,,해조,海藻,海藻,Haizao,,
Sargentodoxae Caulis,,대혈등,大血藤,大血藤,Daxueteng,,
Saururi Herba,,삼백초,三白草,三白草,Sanbaicao,,
Saussureae Involucratae Herba,,천산설련,天山雪蓮,天山雪莲,Tianshanxuelian,,
Saxifragae Herba,,호이초,虎耳草,,,,
Scapharcae Seu Tegillarcae Concha,,와릉자,瓦楞子,瓦楞子,Walengzi,,
Schisandrae Fructus,Schisandra Fruit,오미자,五味子,五味子,Wuweizi,ゴミシ,五味子
