latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Violae Herba,,자화지정,紫花地丁,紫花地丁,Zihuadiding,,
Visci Ramulus Et Folium,,곡기생,槲寄生,槲寄生,Hujisheng,,
Viticis Folium,,만형엽,蔓荊葉,蔓荆叶,,,
Viticis Fructus,Vitex Fruit,만형자,蔓荊子,蔓荆子,Manjingzi,マンケイシ,"蔓荆子, 蔓荊子"
Viticis Negundo Folium,,모형엽,牡荊葉,牡荆叶,Mujingye,,
Viticis Negundo Fructus,,황형자,黃荊子,黄荆子,,,
Vladimiriae Radix,,천목향,川木香,川木香,Chuanmuxiang,,
Xanthii Fructus,Xanthium Fruit,창이자,蒼耳子,苍耳子,Cang&#039;erzi,,
Zanthoxyli Pericarpium,Zanthoxylum Peel,산초,山椒,花椒,Huajiao,サンショウ ショクショウ,山椒 蜀椒
Zanthoxyli Radix,,양면침,兩面針,两面针,Liangmianzhen,,
Zingiberis Rhizoma,Ginger,건강,乾薑,干姜,Ganjiang,カンキョウ,乾姜
Zingiberis Rhizoma Carbonisatum,,건강초탄,乾薑炒炭,,,,
Zingiberis Rhizoma Praeparatum,,포강,炮薑,,,,
Zingiberis Rhizoma Recens,Raw Ginger,생강,生薑,生姜,Shengjiang,ショウキョウ,生姜
Zizyphi Fructus,Jujube,대조,大棗,大枣,Dazao,タイソウ,大棗
Zizyphi Semen,Zizyphus Seed,산조인,酸棗仁,酸枣仁,Suanzaoren,サンソウニン,酸棗仁
Zosterae Herba,,해대,海帶,,,,
