epoch,beta,train_total_loss,train_recon_chem,train_kld,val_total_loss,val_recon_chem,val_kld,test_chem_r2,test_chem_nrmse,valid_chem
1,0.0,0.7570183277130127,0.7570183277130127,3.682875633239746,0.18318122625350952,0.18318122625350952,4.633589267730713,-1.9251048564910889,0.9706577519003027,1.0
2,0.02,0.8575790524482727,0.7789122462272644,3.9333395957946777,0.38399380445480347,0.29586732387542725,4.406323432922363,-1.2403932809829712,1.2335993959917828,1.0
3,0.04,0.9983811378479004,0.8446105718612671,3.8442647457122803,0.3605039715766907,0.21017928421497345,3.7581167221069336,-1.6211903095245361,1.0397300610473992,1.0
4,0.06,0.8927332162857056,0.6743233799934387,3.640164375305176,0.4595561623573303,0.2820947766304016,2.9576897621154785,-1.5936827659606934,1.2045453866402853,1.0
5,0.08,0.8322103023529053,0.5689257979393005,3.2910566329956055,0.49725142121315,0.32128840684890747,2.199537754058838,-1.8585827350616455,1.285503234780668,1.0
6,0.1,0.9044712781906128,0.6168035268783569,2.8766777515411377,0.40350252389907837,0.23384182155132294,1.6966068744659424,-1.838670015335083,1.096697175956868,1.0
7,0.12,0.8800492882728577,0.5696105360984802,2.586989641189575,0.48815208673477173,0.32116425037384033,1.391565203666687,-2.1046242713928223,1.285254830280352,1.0
8,0.14,0.8546620607376099,0.5619649887084961,2.090693235397339,0.4771995544433594,0.30645906925201416,1.2195749282836914,-1.028191328048706,1.2554860323414787,1.0
9,0.16,0.8160696029663086,0.519416868686676,1.8540798425674438,0.3281344771385193,0.162173330783844,1.0372573137283325,-1.6383107900619507,0.9133040940604238,1.0
10,0.18,0.8611624836921692,0.5806736946105957,1.558271050453186,0.3976696729660034,0.2437327653169632,0.8552050590515137,-2.2034382820129395,1.1196508244842733,1.0
11,0.2,0.7531732320785522,0.478640079498291,1.3726656436920166,0.4803038239479065,0.34391841292381287,0.681926965713501,-2.540142297744751,1.330005265312548,1.0
12,0.22,0.8594853281974792,0.5999118685722351,1.1798793077468872,0.4156460464000702,0.2996852695941925,0.5270944833755493,-1.9492470026016235,1.2415332201188007,1.0
13,0.24,0.7372570037841797,0.503929853439331,0.9721964597702026,0.6386383771896362,0.5411397218704224,0.4062444567680359,-4.231188774108887,1.6683238304852779,1.0
14,0.26,0.793936014175415,0.5652504563331604,0.8795598149299622,0.24465727806091309,0.16544444859027863,0.3046647310256958,-0.5539568066596985,0.9224689266854328,1.0
15,0.28,0.7657228112220764,0.5531891584396362,0.7590487003326416,0.3148842453956604,0.25028860569000244,0.23069871962070465,-1.531586766242981,1.1346088321014056,1.0
16,0.3,0.7844043374061584,0.5742964744567871,0.700359582901001,0.5506836175918579,0.49491310119628906,0.18590177595615387,-4.905858516693115,1.5954754336777561,1.0
17,0.32,0.9010692238807678,0.7034330368041992,0.6176130771636963,0.5722085237503052,0.5202417373657227,0.16239625215530396,-3.780278444290161,1.6357926104281664,1.0
18,0.34,0.7998989820480347,0.6066241264343262,0.5684555172920227,0.7029700875282288,0.6499842405319214,0.15584078431129456,-8.8558931350708,1.8284246168415466,1.0
19,0.36,0.9059687256813049,0.7008934020996094,0.5696536898612976,0.4239298701286316,0.367252916097641,0.15743601322174072,-2.2088871002197266,1.3743846320546704,1.0
